 Name of the Monument , Latitude , Longitude ,City
" Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth ",24.254722,76.697222,Bhopal
" Badal Mahal Gatwway, Chanderi ",24.744444,77.692222,Bhopal
 Caves 1 t0 20 Udaygiri Vidisha ,23.338611,77.815556,Bhopal
 Bir Singh Palace Datia ,25.664444,78.035556,Bhopal
" Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur ",24.216667,77.166667,Jabalpur
" Western Group of Temples, Khajuraho ",24.854722,79.919722,Jabalpur
" Group of Temple Parameshvar shiv and Karan Temple, Amarkantak ",22.670278,81.754722,Jabalpur
 Durga temple complex Aihole ,15.694444,75.666111,Dharwad
" Jaina & Vaishnava Cave, Badami ",15.899167,75.685,Dharwad
 Group of Monuments (WH) Pattadakal ,15.964444,75.833056,Dharwad
" Gol Gumbaz, Vijayapura ",16.479167,75.731944,Dharwad
" Ibrahim Rauza, Bijapur ",16.822222,75.731944,Dharwad
" Temples & Sculpture Shed, lakkumdi ",14.122222,75.322222,Dharwad
" Group of Monuments, Hampi ",15.331944,76.497222,Hampi
 Bellary Fort ,15.153056,76.953056,Hampi
 Dariya Daulath Bagh ,12.649167,77.649167,Banglore
 Keshava Temple ,12.649167,77.649167,Banglore
 Palace of Tipu Sultan ,12.649167,77.649167,Banglore
 Fortress and Temple Chitrudurga Fort ,14.231944,76.453056,Banglore
 Cooch Bihar Palace ,26.313528,89.427032,Raiganj
 Hazarduari Palace ,26.313528,89.427032,Raiganj
 Bishnupur Temples ,23.039822,87.313889,Kolkata
 Metcelf-Hall ,23.039822,87.313889,Kolkata
" Asokan Rock Edict, Jungadh ",21.514167,70.394167,Rajkot
" Buddhish Caves, Junagadh ",21.514167,70.394167,Rajkot
" Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh ",21.514167,70.394167,Rajkot
" Champaner Monuments, Pavagadh ",22.479167,73.522778,Vadodara
" Sun temple, Modhera ",22.864444,72.254722,Vadodara
" Rani Ki-Vav, Patan ",23.854722,72.469722,Vadodara
" Rudabai Step Well, Adalaj ",23.164444,72.533056,Vadodara
" Sun Temple, Konark ",19.916667,86.083056,Bhubaneswar
 Ancient Remains on both Udaigiri & Khandagiri Hills ,20.254722,85.769722,Bhubaneswar
 Rajarani Temple ,20.254722,85.769722,Bhubaneswar
 The Hill Containing Many Valuable Sculptures and Images Ratnagiri ,20.254722,85.769722,Bhubaneswar
 Ruins of Buddhist Temples and Images lalitgiri ,20.254722,85.769722,Bhubaneswar
 Ajanta Caves ,20.569722,75.702778,Aurangabad
 Ellora Caves ,20.004722,75.189722,Aurangabad
 Tomb of Rabia Durani (Bibi ka Maqbara) ,18.484722,76.189722,Aurangabad
 Daulatabad Fort ,19.994722,75.333056,Aurangabad
 Pandulena Caves ,19.884722,75.333056,Aurangabad
 Aurangabad Caves ,19.934722,75.333056,Aurangabad
"Old Fort, Sholapur",17.654722,75.919722,Mumbai
"Janjira Fort, Murd",18.454722,72.933056,Mumbai
Kondiote Caves,18.004722,73.124722,Mumbai
Lohgad Fort,19.124722,73.383056,Mumbai
Gawilgarh Fort,21.034722,78.794722,Nagpur
"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",20.994722,78.833056,Nagpur
Suraj Kund,28.519722,77.083056,Chandigarh
Sheikh Chilli's Tomb,28.519722,77.083056,Chandigarh
Khan-I-Khana,28.519722,77.083056,Delhi
Sultanghari Tomb,28.519722,77.083056,Delhi
Tughluqabad,28.519722,77.083056,Delhi
Red Fort,28.611111,77.229444,Delhi
Humayun Tomb,28.595556,77.251111,Delhi
Qutub Minar,28.529722,77.189722,Delhi
Hauzkhas,28.561111,77.215556,Delhi
Jantar Mantar,28.6125,77.216944,Delhi
Safdarjung Tomb,28.574722,77.202778,Delhi
Kotla Feroz Shah,28.561111,77.249722,Delhi
Purana Qila,28.619722,77.219722,Delhi
Ahom Raja's Palace,26.759722,94.083056,Guwahati
"Kareghar of Ahom Kings, Sibasagar",26.759722,94.083056,Guwahati
"Ranghar Pavillion, Jaisagar",26.824722,94.124722,Guwahati
Bishnudol,26.854722,94.153056,Guwahati
"Group of four MaidansCharaideo, Sibasagar",26.759722,94.083056,Guwahati
Upper Fort Aguada,15.470556,73.758333,Goa
Charminar,17.361431,78.474533,Hyderabad
Golconda,17.38233,78.401604,Hyderabad
Warangal,17.966667,79.6,Hyderabad
Ancient Site Bhangarh,27.083056,76.354722,Jaipur
Baori at Abhaneri,27.254722,76.254722,Jaipur
Deeg Bhawan,27.494722,77.353056,Jaipur
Chittaurgarh Fort,24.884722,75.469722,Jodhpur
Kumbhalgarh Fort,25.259722,73.519722,Jodhpur
Ancient Palace Leh,34.1526° N,77.5771° E,Leh
"Remains of Patliputra Site of Mauryan Palace, Kumrahar",25.6097° N,85.1450° E,Patna
"Ancient site of Vaishali, Kolhua",25.9632° N,85.1206° E,Patna
Excavated Remains at Nalanda,25.1990° N,85.4997° E,Patna
Ancient Site of Vikramshila Antichak,25.2637° N,86.3706° E,Patna
Sher Shah's Tomb,25.1847° N,84.4476° E,Patna
Temple of Laxman and Old sites including sculptures sirpur,20.6899° N,80.2427° E,Raipur
"Ruined Fort, kangra",32.0876° N,76.2753° E,Shimla
Rock-cut Temples and Sculptures,18.5139° N,73.8601° E,Shimla
"Palace Complex at Ramnagar, Distt. Udhampur",32.9286° N,75.0296° E,Srinagar
"Avantiswamin Temple, Avantipur, District Pulwama",33.9338° N,74.8819° E,Srinagar
"Group of Temples at kiramchi, District Udhampur",32.9286° N,75.0296° E,Srinagar
Amaravati mahastupa,16.5189° N,80.3728° E,Amaravati
Undavalli caves,16.5539° N,80.5293° E,Amaravati
Nagarjuna Kunda,16.5333° N,79.4667° E,Amaravati
Chandragiri Monument,13.7014° N,79.4019° E,Amaravati
"Buddhist Remains on hill top at Guntupalli, W.G.District",16.6025° N,80.2972° E.,Amaravati
